avg_attacker_episode_rewards,avg_defender_episode_rewards,avg_episode_steps,epsilon_values,hack_probability,attacker_cumulative_reward,defender_cumulative_reward,avg_episode_loss_attacker,avg_episode_loss_defender,lr_list,cumulative_hack_probability
-0.16725,0.7,4.46,0.8352626935120188,0.1,-222.02246364746372,1177,0.0,0.0,0.0005,0.11493614658523042
-0.04848809523809521,0.61,3.91,0.8269512773451482,0.13,-228.8712731712733,1238,0.0,0.0,0.0005,0.11572856391372961
-0.3528888888888889,0.82,3.97,0.8187225652655491,0.06,-262.1601620601621,1320,0.0,0.0,0.0005,0.11294352823588207
-0.19847619047619047,0.76,4.17,0.8105757343128605,0.08,-281.00778110778117,1395,0.0,0.0,0.0005,0.11137553545930509
-0.17238095238095238,0.67,4.13,0.8025099697157205,0.11,-298.24587634587647,1462,0.0,0.0,0.0005,0.1113130395274875
-0.16355952380952382,0.67,4.2,0.7945244648102819,0.11,-314.6018287268289,1529,0.0,0.0,0.0005,0.11125597566275533
0.09035714285714284,0.52,4.55,0.7866184209595359,0.16,-307.56611444111456,1581,0.0,0.0,0.0005,0.11328613077884214
0.012075396825396809,0.55,4.29,0.7787910474734399,0.15,-305.50143190143206,1636,0.0,0.0,0.0005,0.11475409836065574
-0.12123809523809523,0.52,3.9,0.7710415615298397,0.16,-321.48238428238443,1691,0.0,0.0,0.0005,0.11649365628604383
-0.29347979797979806,0.76,3.83,0.7633691880961806,0.08,-345.8303640803643,1764,0.0,0.0,0.0005,0.11514253980007405
-0.28840476190476194,0.64,3.61,0.7557731598519929,0.12,-374.67084027084053,1828,0.0,0.0,0.0005,0.11531595858621921
0.10035714285714288,0.55,4.35,0.748252717112154,0.15,-368.38512598512625,1886,0.0,0.0,0.0005,0.11651154774215787
-0.30242424242424243,0.61,3.64,0.74080710775091,0.13,-394.8775502275506,1944,0.0,0.0,0.0005,0.1169610129956681
-0.08207142857142856,0.67,3.64,0.7334355871266565,0.11,-404.0846930846934,2010,0.0,0.0,0.0005,0.11673653660109642
-0.2605952380952381,0.73,3.69,0.7261374180074647,0.09,-428.1442168942172,2083,0.0,0.0,0.0005,0.11590128084973446
-0.2556587301587302,0.7,4.12,0.7189118704973512,0.1,-453.7100899100903,2153,0.0,0.0,0.0005,0.11541956982732506
-0.2421269841269841,0.67,3.72,0.7117582219632792,0.11,-477.9227883227888,2220,0.0,0.0,0.0005,0.1152602175830638
-0.3504047619047619,0.85,3.94,0.7046757569628911,0.05,-512.9632645132649,2305,0.0,0.0,0.0005,0.11339617252213653
-0.08557142857142858,0.61,3.48,0.697663767172952,0.13,-521.5204073704075,2366,0.0,0.0,0.0005,0.11385726187170231
-0.0615714285714286,0.64,3.81,0.6907215513185129,0.12,-529.6775502275502,2430,0.0,0.0,0.0005,0.11402323696298297
-0.13155122655122656,0.73,4.17,0.6838484151027725,0.09,-540.8326728826726,2503,0.0,0.0,0.0005,0.11339121283872665
-0.22312698412698415,0.73,3.76,0.6770436711376424,0.09,-563.1453712953709,2576,0.0,0.0,0.0005,0.11279159189951295
-0.16589285714285715,0.67,4.09,0.6703066388750015,0.11,-579.7346570096563,2643,0.0,0.0,0.0005,0.11272181954511372
-0.03606313131313132,0.58,3.9,0.6636366445386316,0.14,-582.3409701409693,2700,0.0,0.0,0.0005,0.11338697878566203
-0.07201515151515153,0.58,4.28,0.657033021056833,0.14,-589.542485292484,2758,0.0,0.0,0.0005,0.11402047131635325
-0.25147619047619046,0.7,3.59,0.6504951079957114,0.1,-614.690104340103,2828,0.0,0.0,0.0005,0.11369448965356893
0.0500238095238095,0.46,4.47,0.6440222514931265,0.18,-609.6877233877218,2874,0.0,0.0,0.0005,0.11520109066121335
-0.2063888888888889,0.7,3.9,0.6376138041932984,0.1,-630.3266122766105,2944,0.0,0.0,0.0005,0.11486336369695624
-0.10948809523809523,0.64,4.23,0.6312691251820646,0.12,-642.77542180042,3008,0.0,0.0,0.0005,0.1149750054336014
-0.32373809523809527,0.79,3.58,0.6249875799227835,0.07,-673.6492313242295,3087,0.0,0.0,0.0005,0.11401829398000425
-0.17505555555555558,0.7,4.04,0.6187685401928729,0.1,-691.154786879785,3157,0.0,0.0,0.0005,0.11372630701937096
-0.2674047619047619,0.67,3.64,0.6126113840209793,0.11,-719.0619297369278,3224,0.0,0.0,0.0005,0.11365027545398898
